slug,week,opponent,date,home,teamScore,oppScore
englewood-ninjas,12,vile-horrendous,23-Nov-26,yes,,
englewood-ninjas,13,mount-olympus,30-Nov-26,yes,,
englewood-ninjas,14,pakistan-bombers,7-Dec-26,no,,
i-heart-gingers,1,mount-olympus,7-Sep-26,no,,
i-heart-gingers,2,englewood-ninjas,14-Sep-26,yes,,
i-heart-gingers,3,vancouver-panties,21-Sep-26,no,,
i-heart-gingers,4,nabers-in-paris,28-Sep-26,yes,,
i-heart-gingers,5,pakistan-bombers,5-Oct-26,yes,,
i-heart-gingers,6,amon-ra-dawgin,12-Oct-26,no,,
i-heart-gingers,7,pluto-shraazinatorz,19-Oct-26,yes,,
i-heart-gingers,8,vile-horrendous,26-Oct-26,no,,
i-heart-gingers,9,the-watermark,2-Nov-26,yes,,
i-heart-gingers,10,beer,9-Nov-26,no,,
i-heart-gingers,11,fort-bragg,16-Nov-26,no,,
i-heart-gingers,12,doobs-agency,23-Nov-26,yes,,
i-heart-gingers,13,BYE,30-Nov-26,no,,
i-heart-gingers,14,chicago-zestiest,7-Dec-26,yes,,
amon-ra-dawgin,1,chicago-zestiest,7-Sep-26,no,,
amon-ra-dawgin,2,pluto-shraazinatorz,14-Sep-26,yes,,
amon-ra-dawgin,3,the-watermark,21-Sep-26,yes,,
amon-ra-dawgin,4,mount-olympus,28-Sep-26,yes,,
amon-ra-dawgin,5,beer,5-Oct-26,no,,
amon-ra-dawgin,6,i-heart-gingers,12-Oct-26,yes,,
amon-ra-dawgin,7,fort-bragg,19-Oct-26,no,,
amon-ra-dawgin,8,vancouver-panties,26-Oct-26,no,,
amon-ra-dawgin,9,pakistan-bombers,2-Nov-26,no,,
amon-ra-dawgin,10,vile-horrendous,9-Nov-26,yes,,
amon-ra-dawgin,11,englewood-ninjas,16-Nov-26,yes,,
amon-ra-dawgin,12,nabers-in-paris,23-Nov-26,yes,,
amon-ra-dawgin,13,BYE,30-Nov-26,no,,
amon-ra-dawgin,14,doobs-agency,7-Dec-26,yes,,
vancouver-panties,1,pluto-shraazinatorz,7-Sep-26,yes,,
vancouver-panties,2,pakistan-bombers,14-Sep-26,yes,,
vancouver-panties,3,i-heart-gingers,21-Sep-26,yes,,
vancouver-panties,4,doobs-agency,28-Sep-26,yes,,
vancouver-panties,5,the-watermark,5-Oct-26,no,,
vancouver-panties,6,BYE,12-Oct-26,no,,
vancouver-panties,7,englewood-ninjas,19-Oct-26,yes,,
vancouver-panties,8,amon-ra-dawgin,26-Oct-26,yes,,
vancouver-panties,9,vile-horrendous,2-Nov-26,no,,
vancouver-panties,10,nabers-in-paris,9-Nov-26,yes,,
vancouver-panties,11,mount-olympus,16-Nov-26,no,,
vancouver-panties,12,chicago-zestiest,23-Nov-26,no,,
vancouver-panties,13,beer,30-Nov-26,yes,,
vancouver-panties,14,fort-bragg,7-Dec-26,no,,
